LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1760381794.934255,1099822.000,49419,3,MZ,1,100,16
1760381794.934255,1099822.000,49419,3,MZ,1,100,17
1760381794.934255,1099822.000,49419,3,MZ,1,100,18
1760381794.974589,1099862.333,49439,3,MZ,1,100,20
1760381795.014922,1099902.667,49439,3,MZ,1,100,20
1760381795.055256,1099943.000,49439,3,MZ,1,100,23
1760381795.094757,1099982.500,49453,2,MZ,1,100,21
1760381795.134257,1100022.000,49453,2,MZ,1,100,20
1760381795.174591,1100062.333,49470,3,MZ,1,100,20
1760381795.214925,1100102.667,49470,3,MZ,1,100,18
1760381795.255259,1100143.000,49470,3,MZ,1,100,18
1760381795.294759,1100182.500,49486,2,MZ,1,100,14
1760381795.334260,1100222.000,49486,2,MZ,1,100,13
1760381795.374260,1100262.000,49506,3,MZ,1,100,12
1760381795.414261,1100302.000,49506,3,MZ,1,100,13
1760381795.454261,1100342.000,49506,3,MZ,1,100,11
1760381795.494262,1100382.000,49520,2,MZ,1,100,11
1760381795.534262,1100422.000,49520,2,MZ,1,100,12
1760381795.574263,1100462.000,49539,3,MZ,1,100,13
1760381795.614263,1100502.000,49539,3,MZ,1,100,16
1760381795.654264,1100542.000,49539,3,MZ,1,100,17
1760381795.694264,1100582.000,49556,2,MZ,1,100,19
1760381795.734265,1100622.000,49556,2,MZ,1,100,21
1760381795.774265,1100662.000,49575,3,MZ,1,100,21
1760381795.814266,1100702.000,49575,3,MZ,1,100,22
1760381795.854266,1100742.000,49575,3,MZ,1,100,22
1760381795.894267,1100782.000,49590,2,MZ,1,100,21
1760381795.934268,1100822.000,49590,2,MZ,1,100,20
1760381795.974268,1100862.000,49609,3,MZ,1,100,17
1760381796.014268,1100902.000,49609,3,MZ,1,100,15
1760381796.054269,1100942.000,49609,3,MZ,1,100,14
1760381796.089603,1100977.333,49625,3,MZ,1,100,12
1760381796.124937,1101012.667,49625,3,MZ,1,100,10
1760381796.160270,1101048.000,49625,3,MZ,1,100,11
1760381796.200271,1101088.000,49642,2,MZ,1,100,10
1760381796.240271,1101128.000,49642,2,MZ,1,100,10
1760381796.280272,1101168.000,49659,3,MZ,1,100,10
1760381796.320272,1101208.000,49659,3,MZ,1,100,12
1760381796.360273,1101248.000,49659,3,MZ,1,100,15
1760381796.400773,1101288.500,49674,2,MZ,1,100,18
1760381796.441274,1101329.000,49674,2,MZ,1,100,18
1760381796.480941,1101368.667,49692,3,MZ,1,100,20
1760381796.520608,1101408.333,49692,3,MZ,1,100,22
1760381796.560275,1101448.000,49692,3,MZ,1,100,22
1760381796.600276,1101488.000,49709,3,MZ,1,100,21
1760381796.640276,1101528.000,49709,3,MZ,1,100,20
1760381796.680277,1101568.000,49709,3,MZ,1,100,20
1760381796.720277,1101608.000,49726,2,MZ,1,100,19
1760381796.760278,1101648.000,49726,2,MZ,1,100,17
1760381796.800278,1101688.000,49748,4,MZ,1,100,14
1760381796.840279,1101728.000,49748,4,MZ,1,100,14
1760381796.880279,1101768.000,49748,4,MZ,1,100,14
1760381796.920280,1101808.000,49748,4,MZ,1,100,13
1760381796.960280,1101848.000,49764,2,MZ,1,100,12
1760381797.000281,1101888.000,49764,2,MZ,1,100,12
1760381797.040281,1101928.000,49786,3,MZ,1,100,12
1760381797.080282,1101968.000,49786,3,MZ,1,100,13
1760381797.120282,1102008.000,49786,3,MZ,1,100,16
1760381797.160283,1102048.000,49802,2,MZ,1,100,19
1760381797.200284,1102088.000,49802,2,MZ,1,100,19
1760381797.240284,1102128.000,49821,3,MZ,1,100,20
1760381797.280284,1102168.000,49821,3,MZ,1,100,22
1760381797.320285,1102208.000,49821,3,MZ,1,100,24
1760381797.360286,1102248.000,49837,2,MZ,1,100,22
1760381797.400286,1102288.000,49837,2,MZ,1,100,22
1760381797.440286,1102328.000,49853,3,MZ,1,100,20
1760381797.480287,1102368.000,49853,3,MZ,1,100,18
1760381797.520288,1102408.000,49853,3,MZ,1,100,17
1760381797.560288,1102448.000,49869,3,MZ,1,100,15
1760381797.600288,1102488.000,49869,3,MZ,1,100,12
1760381797.640289,1102528.000,49869,3,MZ,1,100,13
1760381797.680290,1102568.000,49887,2,MZ,1,100,11
1760381797.720290,1102608.000,49887,2,MZ,1,100,11
1760381797.760290,1102648.000,49905,3,MZ,1,100,11
1760381797.800291,1102688.000,49905,3,MZ,1,100,13
1760381797.840292,1102728.000,49905,3,MZ,1,100,14
1760381797.880292,1102768.000,49920,2,MZ,1,100,18
1760381797.920293,1102808.000,49920,2,MZ,1,100,19
1760381797.960293,1102848.000,49937,3,MZ,1,100,21
1760381798.000293,1102888.000,49937,3,MZ,1,100,22
1760381798.040294,1102928.000,49937,3,MZ,1,100,25
1760381798.080295,1102968.000,49956,2,MZ,1,100,22
1760381798.120295,1103008.000,49956,2,MZ,1,100,23
1760381798.160295,1103048.000,49974,3,MZ,1,100,23
1760381798.200296,1103088.000,49974,3,MZ,1,100,22
1760381798.240297,1103128.000,49974,3,MZ,1,100,20
1760381798.280297,1103168.000,49989,2,MZ,1,100,19
1760381798.320297,1103208.000,49989,2,MZ,1,100,16
1760381798.360298,1103248.000,50006,3,MZ,1,100,15
1760381798.400299,1103288.000,50006,3,MZ,1,100,13
1760381798.440299,1103328.000,50006,3,MZ,1,100,12
1760381798.480299,1103368.000,50025,2,MZ,1,100,11
1760381798.520300,1103408.000,50025,2,MZ,1,100,10
1760381798.560301,1103448.000,50041,3,MZ,1,100, 9
1760381798.600301,1103488.000,50041,3,MZ,1,100,10
1760381798.640302,1103528.000,50041,3,MZ,1,100,12
1760381798.680302,1103568.000,50057,2,MZ,1,100,17
1760381798.720303,1103608.000,50057,2,MZ,1,100,18
1760381798.760303,1103648.000,50075,3,MZ,1,100,19
1760381798.800304,1103688.000,50075,3,MZ,1,100,20
1760381798.840304,1103728.000,50075,3,MZ,1,100,22
1760381798.880305,1103768.000,50092,2,MZ,1,100,23
1760381798.920305,1103808.000,50092,2,MZ,1,100,23
1760381798.960306,1103848.000,50109,3,MZ,1,100,23
1760381799.000306,1103888.000,50109,3,MZ,1,100,20
1760381799.040307,1103928.000,50109,3,MZ,1,100,21
1760381799.080307,1103968.000,50124,2,MZ,1,100,18
1760381799.120308,1104008.000,50124,2,MZ,1,100,16
1760381799.160308,1104048.000,50140,3,MZ,1,100,13
1760381799.200309,1104088.000,50140,3,MZ,1,100,11
1760381799.240309,1104128.000,50140,3,MZ,1,100,10
1760381799.280310,1104168.000,50159,3,MZ,1,100,12
1760381799.320310,1104208.000,50159,3,MZ,1,100,10
1760381799.360311,1104248.000,50159,3,MZ,1,100,12
1760381799.400311,1104288.000,50178,2,MZ,1,100,14
1760381799.440312,1104328.000,50178,2,MZ,1,100,18
1760381799.475979,1104363.667,50193,3,MZ,1,100,19
1760381799.511646,1104399.333,50193,3,MZ,1,100,20
1760381799.547313,1104435.000,50193,3,MZ,1,100,23
1760381799.587314,1104475.000,50211,2,MZ,1,100,25
1760381799.627314,1104515.000,50211,2,MZ,1,100,25
1760381799.667315,1104555.000,50229,3,MZ,1,100,25
1760381799.707315,1104595.000,50229,3,MZ,1,100,23
1760381799.747316,1104635.000,50229,3,MZ,1,100,23
1760381799.787316,1104675.000,50245,3,MZ,1,100,22
1760381799.827317,1104715.000,50245,3,MZ,1,100,19
1760381799.867317,1104755.000,50245,3,MZ,1,100,18
1760381799.907318,1104795.000,50261,2,MZ,1,100,16
1760381799.947318,1104835.000,50261,2,MZ,1,100,14
1760381799.987319,1104875.000,50279,3,MZ,1,100,13
1760381800.027319,1104915.000,50279,3,MZ,1,100,14
1760381800.067320,1104955.000,50279,3,MZ,1,100,13
1760381800.107320,1104995.000,50298,2,MZ,1,100,14
1760381800.147321,1105035.000,50298,2,MZ,1,100,15
1760381800.187321,1105075.000,50314,3,MZ,1,100,17
1760381800.227322,1105115.000,50314,3,MZ,1,100,18
1760381800.267322,1105155.000,50314,3,MZ,1,100,22
1760381800.307323,1105195.000,50332,2,MZ,1,100,25
1760381800.347323,1105235.000,50332,2,MZ,1,100,26
1760381800.387324,1105275.000,50348,3,MZ,1,100,27
1760381800.427324,1105315.000,50348,3,MZ,1,100,25
1760381800.467325,1105355.000,50348,3,MZ,1,100,25
1760381800.507325,1105395.000,50365,2,MZ,1,100,25
1760381800.547326,1105435.000,50365,2,MZ,1,100,22
1760381800.587326,1105475.000,50381,3,MZ,1,100,22
1760381800.627327,1105515.000,50381,3,MZ,1,100,18
1760381800.667327,1105555.000,50381,3,MZ,1,100,16
1760381800.707328,1105595.000,50401,2,MZ,1,100,14
1760381800.747328,1105635.000,50401,2,MZ,1,100,13
1760381800.787329,1105675.000,50415,3,MZ,1,100,12
1760381800.827329,1105715.000,50415,3,MZ,1,100,12
1760381800.867330,1105755.000,50415,3,MZ,1,100,11
1760381800.907330,1105795.000,50434,3,MZ,1,100,11
1760381800.947331,1105835.000,50434,3,MZ,1,100,14
1760381800.987331,1105875.000,50434,3,MZ,1,100,18
1760381801.027332,1105915.000,50451,2,MZ,1,100,19
1760381801.067332,1105955.000,50451,2,MZ,1,100,21
1760381801.107333,1105995.000,50470,3,MZ,1,100,23
1760381801.147333,1106035.000,50470,3,MZ,1,100,24
1760381801.187334,1106075.000,50470,3,MZ,1,100,26
1760381801.227334,1106115.000,50484,2,MZ,1,100,23
1760381801.267335,1106155.000,50484,2,MZ,1,100,23
1760381801.307335,1106195.000,50504,3,MZ,1,100,20
1760381801.347336,1106235.000,50504,3,MZ,1,100,18
1760381801.387336,1106275.000,50504,3,MZ,1,100,16
1760381801.427337,1106315.000,50520,2,MZ,1,100,15
1760381801.467337,1106355.000,50520,2,MZ,1,100,14
1760381801.507338,1106395.000,50539,3,MZ,1,100,14
1760381801.547338,1106435.000,50539,3,MZ,1,100,13
1760381801.587339,1106475.000,50539,3,MZ,1,100,13
1760381801.627339,1106515.000,50554,2,MZ,1,100,12
1760381801.667340,1106555.000,50554,2,MZ,1,100,12
1760381801.707340,1106595.000,50571,3,MZ,1,100,15
1760381801.747341,1106635.000,50571,3,MZ,1,100,18
1760381801.787341,1106675.000,50571,3,MZ,1,100,20
1760381801.827342,1106715.000,50587,2,MZ,1,100,22
1760381801.867342,1106755.000,50587,2,MZ,1,100,23
1760381801.907343,1106795.000,50612,4,MZ,1,100,24
1760381801.947343,1106835.000,50612,4,MZ,1,100,23
1760381801.987344,1106875.000,50612,4,MZ,1,100,22
1760381802.027344,1106915.000,50612,4,MZ,1,100,23
1760381802.067345,1106955.000,50630,3,MZ,1,100,21
1760381802.107345,1106995.000,50630,3,MZ,1,100,17
1760381802.147346,1107035.000,50630,3,MZ,1,100,14
1760381802.187346,1107075.000,50647,2,MZ,1,100,13
1760381802.227347,1107115.000,50647,2,MZ,1,100,12
1760381802.267347,1107155.000,50663,3,MZ,1,100,14
1760381802.307348,1107195.000,50663,3,MZ,1,100,13
1760381802.347348,1107235.000,50663,3,MZ,1,100,12
1760381802.387349,1107275.000,50683,2,MZ,1,100,12
1760381802.427349,1107315.000,50683,2,MZ,1,100,12
1760381802.467350,1107355.000,50699,3,MZ,1,100,16
